"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2010","CLE","69","93","34","632","162","1433.0","6.07","3.59","0.92",".297","71.4%","47.9%","9.3%","","4.30","4.40","4.41","9.7"
"2017","OAK","75","87","35","687","162","1431.0","7.56","3.16","1.32",".294","68.9%","44.9%","13.9%","88.2","4.67","4.57","4.54","9.6"
"2013","TOR","74","88","39","649","162","1452.0","7.49","3.10","1.21",".293","72.3%","44.0%","12.3%","","4.26","4.30","4.04","9.5"
"2008","SEA","61","101","36","631","162","1435.1","6.37","3.93","1.01",".307","70.7%","44.7%","9.8%","","4.73","4.59","4.64","9.4"
"2014","SFG","88","74","46","637","162","1449.0","7.52","2.42","0.83",".282","72.7%","45.9%","9.4%","","3.50","3.58","3.59","9.4"
"2017","SEA","78","84","39","689","162","1440.1","7.77","3.06","1.48",".283","72.7%","40.3%","14.1%","87.9","4.46","4.70","4.64","9.3"
"2010","KCR","67","95","44","603","162","1436.2","6.48","3.45","1.10",".304","68.6%","42.5%","9.8%","","4.97","4.48","4.41","9.3"
"2014","TEX","67","95","33","638","162","1426.1","7.00","3.19","1.01",".310","70.4%","39.5%","9.3%","","4.49","4.22","4.26","9.3"
"2012","HOU","55","107","31","703","162","1423.1","7.40","3.41","1.09",".306","70.0%","47.9%","12.2%","","4.57","4.27","4.15","9.3"
"2007","TBD","66","96","28","645","162","1429.2","7.52","3.58","1.25",".331","66.8%","41.8%","11.1%","","5.53","4.70","4.47","9.2"
"2012","COL","64","98","36","737","162","1422.0","7.24","3.58","1.25",".325","68.9%","45.2%","13.7%","","5.22","4.59","4.28","9.2"
"2008","TEX","79","83","36","619","162","1442.0","6.01","3.90","1.10",".315","65.6%","43.2%","10.2%","","5.37","4.83","4.82","9.2"
"2007","TEX","75","87","42","629","162","1430.0","6.14","4.20","0.98",".303","69.4%","46.5%","9.7%","","4.76","4.83","4.82","9.1"
"2008","STL","86","76","42","668","162","1454.0","5.92","3.07","1.01",".295","72.9%","45.3%","10.3%","","4.20","4.40","4.37","9.1"
"2015","SEA","76","86","45","671","162","1463.0","7.89","3.02","1.11",".298","72.8%","46.3%","12.5%","88.6","4.16","4.14","3.99","9.1"
"2019","TOR","67","95","33","753","162","1440.1","8.32","3.77","1.42",".300","71.8%","43.1%","14.9%","88.9","4.79","4.82","4.88","9.1"
"2008","CIN","74","88","34","669","162","1442.1","7.66","3.48","1.25",".312","72.5%","42.7%","12.7%","","4.55","4.54","4.18","9.1"
"2016","ATL","68","93","39","748","161","1447.2","7.63","3.40","1.10",".293","70.2%","44.7%","11.7%","89.1","4.51","4.32","4.48","9.0"
"2016","PIT","78","83","51","687","162","1450.2","7.64","3.31","1.12",".306","72.5%","46.9%","13.0%","88.3","4.22","4.30","4.28","9.0"
"2017","ATL","72","90","36","692","162","1441.1","7.86","3.65","1.20",".302","70.1%","44.5%","12.5%","87.5","4.72","4.51","4.67","8.9"
"2017","MIN","85","77","42","682","162","1436.0","7.31","3.03","1.40",".296","72.5%","42.4%","13.5%","87.8","4.60","4.71","4.75","8.9"
"2006","TBD","61","101","33","606","162","1420.1","6.20","3.84","1.14",".312","70.1%","42.5%","10.3%","","4.97","4.83","4.91","8.8"
"2018","TOR","73","89","39","752","162","1433.2","8.15","3.46","1.31",".306","70.0%","42.5%","12.7%","88.5","4.85","4.53","4.54","8.8"
"2019","PHI","81","81","36","726","162","1453.2","8.62","3.38","1.60",".298","74.7%","43.1%","17.9%","88.6","4.53","4.88","4.55","8.8"
"2015","SFG","84","78","41","719","162","1444.1","7.26","2.69","0.97",".283","74.5%","46.0%","10.8%","88.3","3.73","3.92","3.99","8.8"
"2017","NYM","70","92","34","730","162","1434.2","8.62","3.72","1.38",".319","70.4%","44.4%","14.9%","86.9","5.01","4.59","4.42","8.7"
"2018","CIN","67","95","38","706","162","1441.0","7.86","3.32","1.42",".300","71.5%","44.4%","15.8%","88.8","4.65","4.68","4.28","8.6"
"2016","SDP","68","94","35","672","162","1440.0","7.64","3.56","1.14",".296","71.3%","46.4%","12.6%","89.1","4.44","4.40","4.42","8.6"
"2017","BAL","75","87","35","654","162","1441.0","7.70","3.62","1.51",".302","72.2%","44.6%","15.4%","88.0","4.97","4.96","4.72","8.6"
"2019","PIT","69","93","31","712","162","1440.0","9.02","3.65","1.51",".315","68.9%","42.2%","15.7%","88.8","5.19","4.78","4.72","8.6"
"2011","PIT","72","90","43","711","162","1449.1","6.40","3.32","0.94",".300","73.7%","45.6%","9.8%","","4.05","4.20","4.18","8.5"
"2019","SFG","77","85","41","749","162","1469.0","8.38","3.18","1.39",".286","72.6%","42.2%","15.1%","89.4","4.38","4.55","4.58","8.5"
"2013","ARI","81","81","38","689","162","1495.0","7.33","2.92","1.06",".292","74.5%","46.0%","12.2%","","3.92","4.04","3.83","8.5"
"2013","SDP","76","86","40","650","162","1455.0","7.24","3.25","0.96",".292","72.5%","45.8%","10.8%","","3.98","4.00","3.96","8.4"
"2007","FLA","71","91","40","722","162","1443.2","7.12","4.12","1.10",".321","69.4%","41.7%","10.2%","","4.96","4.77","4.69","8.3"
"2008","DET","74","88","34","602","162","1445.0","6.17","4.01","1.07",".302","69.4%","42.0%","9.7%","","4.91","4.79","4.86","8.3"
